Time,Id,CimetrixGEM300Simulation/ModuleID,CimetrixGEM300Simulation/ProcessJobID,CimetrixGEM300Simulation/ProcessJobIDList,CimetrixGEM300Simulation/RCID,CimetrixGEM300Simulation/RecID,CimetrixGEM300Simulation/SubstrateIDList,CimetrixGEM300Simulation/SubstrateID,CimetrixGEM300Simulation/RecipeParameters
2022-11-11T14:52:18.759-07:00,ModuleProcess:2:NotExecuting-GeneralExecution,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.11","Arr[0]"
2022-11-11T14:52:33.033-07:00,ModuleProcess:2:NotExecuting-GeneralExecution,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.13","Arr[0]"
2022-11-11T14:52:47.319-07:00,ModuleProcess:2:NotExecuting-GeneralExecution,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.15","Arr[0]"
2022-11-11T14:53:01.631-07:00,ModuleProcess:2:NotExecuting-GeneralExecution,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.17","Arr[0]"
2022-11-11T14:53:15.893-07:00,ModuleProcess:2:NotExecuting-GeneralExecution,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.19","Arr[0]"
2022-11-11T14:53:30.152-07:00,ModuleProcess:2:NotExecuting-GeneralExecution,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.21","Arr[0]"
2022-11-11T14:53:44.394-07:00,ModuleProcess:2:NotExecuting-GeneralExecution,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.23","Arr[0]"
2022-11-11T14:53:58.733-07:00,ModuleProcess:2:NotExecuting-GeneralExecution,"ProcessChamber1","LocalProcessJob0007","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.25","Arr[0]"
2022-11-11T14:54:12.998-07:00,ModuleProcess:2:NotExecuting-GeneralExecution,"ProcessChamber1","LocalProcessJob0008","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.02","Arr[0]"
2022-11-11T14:54:27.276-07:00,ModuleProcess:2:NotExecuting-GeneralExecution,"ProcessChamber1","LocalProcessJob0008","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.04","Arr[0]"
